ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,RESTAURANTPAIR923,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-2,RESTAURANTPAIR923,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR923,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-L,RESTAURANTPAIR1472,SYSTEM1.TXT,0.05263,0.07692,0.06250,1

ROUGE-1,RESTAURANTPAIR1472,SYSTEM1.TXT,0.05000,0.07143,0.05882,1

ROUGE-2,RESTAURANTPAIR1472,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR1472,SYSTEM1.TXT,0.01111,0.01667,0.01333,1

ROUGE-L,RESTAURANTPAIR922,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-1,RESTAURANTPAIR922,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-2,RESTAURANTPAIR922,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR922,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-L,RESTAURANTPAIR1473,SYSTEM1.TXT,0.33333,0.07692,0.12500,1

ROUGE-1,RESTAURANTPAIR1473,SYSTEM1.TXT,0.33333,0.07143,0.11765,1

ROUGE-2,RESTAURANTPAIR1473,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR1473,SYSTEM1.TXT,0.16667,0.01667,0.03030,1

ROUGE-L,RESTAURANTPAIR921,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-1,RESTAURANTPAIR921,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-2,RESTAURANTPAIR921,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR921,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-L,RESTAURANTPAIR1474,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-1,RESTAURANTPAIR1474,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-2,RESTAURANTPAIR1474,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR1474,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-L,RESTAURANTPAIR920,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-1,RESTAURANTPAIR920,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-2,RESTAURANTPAIR920,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR920,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-L,RESTAURANTPAIR930,SYSTEM1.TXT,1.00000,0.18182,0.30769,1

ROUGE-1,RESTAURANTPAIR930,SYSTEM1.TXT,1.00000,0.18182,0.30769,1

ROUGE-2,RESTAURANTPAIR930,SYSTEM1.TXT,1.00000,0.10000,0.18182,1

ROUGE-SU4,RESTAURANTPAIR930,SYSTEM1.TXT,1.00000,0.06667,0.12500,1

ROUGE-L,RESTAURANTPAIR1464,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-1,RESTAURANTPAIR1464,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-2,RESTAURANTPAIR1464,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR1464,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-L,RESTAURANTPAIR1465,SYSTEM1.TXT,0.05556,0.05263,0.05405,1

ROUGE-1,RESTAURANTPAIR1465,SYSTEM1.TXT,0.05556,0.05263,0.05405,1

ROUGE-2,RESTAURANTPAIR1465,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR1465,SYSTEM1.TXT,0.01250,0.01176,0.01212,1

ROUGE-L,RESTAURANTPAIR1466,SYSTEM1.TXT,0.06667,0.05556,0.06061,1

ROUGE-1,RESTAURANTPAIR1466,SYSTEM1.TXT,0.06667,0.05556,0.06061,1

ROUGE-2,RESTAURANTPAIR1466,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR1466,SYSTEM1.TXT,0.01538,0.01250,0.01379,1

ROUGE-L,RESTAURANTPAIR1467,SYSTEM1.TXT,0.14286,0.40000,0.21053,1

ROUGE-1,RESTAURANTPAIR1467,SYSTEM1.TXT,0.13333,0.40000,0.20000,1

ROUGE-2,RESTAURANTPAIR1467,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR1467,SYSTEM1.TXT,0.04615,0.20000,0.07500,1

ROUGE-L,RESTAURANTPAIR1468,SYSTEM1.TXT,0.05556,0.20000,0.08696,1

ROUGE-1,RESTAURANTPAIR1468,SYSTEM1.TXT,0.05556,0.20000,0.08696,1

ROUGE-2,RESTAURANTPAIR1468,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR1468,SYSTEM1.TXT,0.01250,0.06667,0.02105,1

ROUGE-L,RESTAURANTPAIR1469,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-1,RESTAURANTPAIR1469,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-2,RESTAURANTPAIR1469,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR1469,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-L,RESTAURANTPAIR919,SYSTEM1.TXT,0.50000,0.09091,0.15385,1

ROUGE-1,RESTAURANTPAIR919,SYSTEM1.TXT,0.50000,0.09091,0.15385,1

ROUGE-2,RESTAURANTPAIR919,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR919,SYSTEM1.TXT,0.33333,0.02222,0.04167,1

ROUGE-L,RESTAURANTPAIR918,SYSTEM1.TXT,0.09091,0.09091,0.09091,1

ROUGE-1,RESTAURANTPAIR918,SYSTEM1.TXT,0.09091,0.09091,0.09091,1

ROUGE-2,RESTAURANTPAIR918,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR918,SYSTEM1.TXT,0.02222,0.02222,0.02222,1

ROUGE-L,RESTAURANTPAIR917,SYSTEM1.TXT,0.06250,0.09091,0.07407,1

ROUGE-1,RESTAURANTPAIR917,SYSTEM1.TXT,0.06250,0.09091,0.07407,1

ROUGE-2,RESTAURANTPAIR917,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR917,SYSTEM1.TXT,0.01429,0.02222,0.01739,1

ROUGE-L,RESTAURANTPAIR916,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-1,RESTAURANTPAIR916,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-2,RESTAURANTPAIR916,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR916,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-L,RESTAURANTPAIR915,SYSTEM1.TXT,0.06250,0.20000,0.09524,1

ROUGE-1,RESTAURANTPAIR915,SYSTEM1.TXT,0.05556,0.20000,0.08696,1

ROUGE-2,RESTAURANTPAIR915,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR915,SYSTEM1.TXT,0.01250,0.06667,0.02105,1

ROUGE-L,RESTAURANTPAIR914,SYSTEM1.TXT,0.11111,0.40000,0.17391,1

ROUGE-1,RESTAURANTPAIR914,SYSTEM1.TXT,0.10526,0.40000,0.16667,1

ROUGE-2,RESTAURANTPAIR914,SYSTEM1.TXT,0.05556,0.25000,0.09091,1

ROUGE-SU4,RESTAURANTPAIR914,SYSTEM1.TXT,0.03529,0.20000,0.06000,1

ROUGE-L,RESTAURANTPAIR913,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-1,RESTAURANTPAIR913,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-2,RESTAURANTPAIR913,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR913,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-L,RESTAURANTPAIR1460,SYSTEM1.TXT,0.06667,0.07692,0.07143,1

ROUGE-1,RESTAURANTPAIR1460,SYSTEM1.TXT,0.06667,0.07143,0.06897,1

ROUGE-2,RESTAURANTPAIR1460,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR1460,SYSTEM1.TXT,0.01538,0.01667,0.01600,1

