pair_id,pr,re,f
pair_249,0,0,0
pair_25,0,0,0
pair_250,0,0,0
pair_251,0,0,0
pair_252,0.333333333,0.333333333,0.333333333
pair_253,0,0,0
pair_254,0,0,0
pair_255,0,0,0
pair_256,0,0,0
pair_257,0,0,0
pair_258,0.5,0.166666667,0.25
pair_259,0,0,0
pair_26,0,0,0
pair_260,0,0,0
pair_261,0,0,0
pair_262,0,0,0
pair_263,0,0,0
pair_264,0,0,0
pair_265,0,0,0
pair_266,0,0,0
pair_267,0,0,0
pair_268,0,0,0
pair_269,0,0,0
pair_27,0,0,0
pair_270,0,0,0
pair_271,0,0,0
pair_272,0,0,0
pair_273,0,0,0
pair_274,0,0,0
pair_275,0,0,0
pair_276,0,0,0
pair_277,0,0,0
pair_278,0,0,0
pair_279,0,0,0
pair_28,0,0,0
pair_280,0,0,0
pair_281,0.333333333,1,0.5
pair_282,0,0,0
pair_283,0,0,0
pair_284,0,0,0
pair_285,0,0,0
pair_286,0,0,0
pair_287,0,0,0
pair_288,0,0,0
pair_289,0,0,0
pair_29,0,0,0
pair_290,0,0,0
pair_291,0,0,0
pair_292,0,0,0
pair_293,0,0,0
pair_294,0,0,0
pair_295,0,0,0
pair_296,0,0,0
pair_297,0,0,0
pair_298,0,0,0
pair_299,0,0,0
pair_3,0,0,0
pair_30,0,0,0
pair_300,0,0,0
pair_301,0,0,0
pair_302,0,0,0
pair_303,0,0,0
pair_304,0,0,0
pair_305,0,0,0
pair_306,0,0,0
pair_307,0,0,0
pair_308,1,0.2,0.333333333
pair_309,0,0,0
pair_31,0,0,0
pair_310,0,0,0
pair_311,0,0,0
pair_312,0,0,0
pair_313,0,0,0
pair_314,0,0,0
pair_315,0.5,0.5,0.5
pair_316,0,0,0
pair_317,0.5,1,0.666666667
pair_318,0,0,0
pair_319,0,0,0
pair_32,0,0,0
pair_320,0,0,0
pair_321,0,0,0
pair_322,0,0,0
pair_323,0,0,0
pair_324,0.142857143,0.1,0.117647059
pair_325,0.142857143,0.333333333,0.2
pair_326,0.142857143,0.5,0.222222222
pair_327,0.142857143,0.333333333,0.2
pair_328,0,0,0
pair_329,0,0,0
pair_33,0,0,0
pair_330,0,0,0
pair_331,0,0,0
pair_332,0,0,0
pair_333,0,0,0
pair_334,0,0,0
pair_335,0.142857143,0.090909091,0.111111111
pair_336,0,0,0
pair_337,0,0,0
pair_338,0,0,0
pair_339,0,0,0
pair_34,0,0,0
pair_340,0,0,0
pair_341,0,0,0
pair_342,0,0,0
pair_343,0,0,0
pair_344,0,0,0
pair_345,0.2,0.25,0.222222222
pair_346,0,0,0
pair_347,0,0,0
pair_348,0,0,0
pair_349,0,0,0
pair_35,0,0,0
pair_350,0,0,0
pair_351,0,0,0
pair_352,0.166666667,0.333333333,0.222222222
pair_353,0,0,0
pair_354,0.166666667,0.5,0.25
pair_355,0,0,0
pair_356,0,0,0
pair_357,0,0,0
pair_358,0,0,0
pair_359,0,0,0
pair_36,0,0,0
pair_360,0,0,0
pair_361,0,0,0
pair_362,0,0,0
pair_363,0,0,0
pair_364,0,0,0
pair_365,0,0,0
pair_366,0,0,0
pair_367,0,0,0
pair_368,0,0,0
pair_369,0,0,0
pair_37,0,0,0
pair_370,0,0,0
pair_371,0,0,0
pair_372,0,0,0
pair_373,0,0,0
pair_374,0,0,0
pair_375,0,0,0
pair_376,0,0,0
pair_377,0,0,0
pair_378,0,0,0
pair_379,0,0,0
